Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96007,0,1.81504,0.00104529,0.0693654,0,0.106323,6.45368e-06,0.114624,0,1.23036,0.00103825,0.0149195,0,0.0824771,6.36418e-06,, , 0.0665221,0.00733546,0.0407669,6.87397,1.56697,1.23036,0.00103825,0.000987789,0.010115,0.00348139,0.00132306,0.00162304,0.0500789,0.0824771,6.36418e-06,0.0585562
2,15.1228,15.1803,11.3451,0.00758605,0.505519,0.507784,3.75208,3.62327e-05,3.68211,3.73962,9.61857,0.00727253,0.179694,0.181959,2.88364,1.80287e-06,, , 0.529107,6.59864,0.293982,15.1163,9.97854,9.61857,0.00727253,0.0155217,0.213242,0.129148,0.0192624,0.00853657,0.640836,2.88364,1.80287e-06,0.920125
3,4.21161,4.23672,7.27176,0.0122367,0.172696,0.175096,2.72146,0.000466444,0.897425,0.92253,6.41359,0.0116097,0.0690533,0.0714536,0.99193,5.64588e-05,, , 0.24215,1.44982,0.127988,5.23262,3.22804,6.41359,0.0116097,0.0293457,0.0906392,0.0417726,0.00809515,0.00755516,0.204585,0.99193,5.64588e-05,1.73961
4,6.18566,6.24234,7.76556,0.0326317,0.276558,0.280969,5.51365,9.14779e-05,1.11167,1.16835,6.41475,0.0313776,0.134048,0.138459,2.05564,1.54827e-05,, , 0.482279,1.54823,0.249511,8.74862,4.6985,6.41475,0.0313776,0.0584488,0.180078,0.0761984,0.0162302,0.0118465,0.284231,2.05564,1.54827e-05,3.46485
5,1.5342,1.55506,7.03615,0.072208,0.0885225,0.0902222,7.63872,0.00103507,0.278498,0.299354,5.50033,0.0696997,0.0489665,0.0506663,0.724885,0.000487987,, , 0.179094,0.307138,0.0916197,6.2831,1.66101,5.50033,0.0696997,0.116473,0.0696661,0.024022,0.00594464,0.017688,0.0855392,0.724885,0.000487987,6.90454
6,2.44745,2.49148,8.43961,0.163391,0.150858,0.153926,15.3127,0.0009131,0.450722,0.49475,5.50224,0.158374,0.0968491,0.0999173,1.48531,0.000794911,, , 0.354953,0.409594,0.180924,11.9572,2.76803,5.50224,0.158374,0.232886,0.138046,0.0467762,0.0119447,0.0313899,0.125166,1.48531,0.000794911,13.8055
7,0.47009,0.471232,9.57559,0.197019,0.0298316,0.0301395,49.3679,0.000237117,0.385853,0.386995,0.013099,0.179933,0.0165059,0.0168138,0.205195,1.98927e-05,, , 0.0100644,0.757676,0.00510665,12.0326,0.287717,0.013099,0.179933,0.827824,0.0138061,0.0183357,0.00117786,0.107445,0.0520212,0.205195,1.98927e-05,49.0734
8,0.0286236,0.0287601,0.0180463,0.000638244,0.000539266,0.000545346,0.0602466,3.40776e-07,0.00198755,0.00212405,0.00207546,0.000617388,8.7413e-05,9.34934e-05,0.000227484,7.56095e-08,, , 0.00127788,0.00218914,0.000644581,0.0803593,0.0212412,0.00207546,0.000617388,0.00101147,7.36892e-05,8.89254e-05,1.82918e-05,0.000321226,0.00074128,0.000227484,7.56095e-08,0.0599602
Total,37.9605,30.2059,53.2669,0.486755,1.29389,1.23868,84.4731,0.00278623,6.92289,7.01371,34.695,0.459921,0.560123,0.559362,8.4293,0.00138297,, , 1.86545,11.0806,0.990543,66.3248,24.21,34.695,0.459921,1.2825,0.715665,0.339823,0.0639963,0.186405,1.4432,8.4293,0.00138297,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11917,0.0082021,1.51264,19.3108,0.0203701,3.75668
